"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Bloqueo 3 Intentos","1","0","","0"
"0","","0","Login Correcto - Logout","4","0","","0"
"0","","0","Login Incorrecto","1","0","","0"
